method_name,problem_id,retention_mode,source_valid_ppa,retained_candidate_count,retained_fraction,occupied_cells,mean_front_size,max_front_size,hypervolume,global_pareto_point_count,best_fitness,ppa_grid_occupied_cells,ppa_grid_total_cells,ppa_grid_coverage,unique_canonical_netlist_count,duplicate_netlist_count,unique_motif_signature_count,ppa_front_unique_netlist_count
sr_random_relu_pca_qd,VerilogEval-Spec-to-RTL/Prob021_mux256to1v,scalar_cell_elite,35,1,0.02857142857142857,1,1.0,1,0.4184167551309271,1,0.47203197202447855,1,16,0.0625,1,0,1,1
sr_random_relu_pca_qd,VerilogEval-Spec-to-RTL/Prob021_mux256to1v,bounded_local_pareto,35,3,0.08571428571428572,1,3.0,3,0.4184254662586903,3,0.47203197202447855,1,16,0.0625,2,1,2,2
sr_random_relu_pca_qd,VerilogEval-Spec-to-RTL/Prob030_popcount255,scalar_cell_elite,31,1,0.03225806451612903,1,1.0,1,0.002577418066241729,1,0.28859266721086546,1,16,0.0625,1,0,1,1
sr_random_relu_pca_qd,VerilogEval-Spec-to-RTL/Prob030_popcount255,bounded_local_pareto,31,1,0.03225806451612903,1,1.0,1,0.002577418066241729,1,0.28859266721086546,1,16,0.0625,1,0,1,1
sr_random_relu_pca_qd,VerilogEval-Spec-to-RTL/Prob105_rotate100,scalar_cell_elite,41,2,0.04878048780487805,2,1.0,1,0.0,1,0.04155040525406675,1,64,0.015625,2,0,2,1
sr_random_relu_pca_qd,VerilogEval-Spec-to-RTL/Prob105_rotate100,bounded_local_pareto,41,5,0.12195121951219512,2,2.5,4,0.0,4,0.04155040525406675,1,64,0.015625,2,3,2,1
sr_rff_pca_qd,RTLLM/Prob011_multi_16bit,scalar_cell_elite,33,1,0.030303030303030304,1,1.0,1,0.010525019445164636,1,0.3433326131420505,1,64,0.015625,1,0,1,1
sr_rff_pca_qd,RTLLM/Prob011_multi_16bit,bounded_local_pareto,33,4,0.12121212121212122,1,4.0,4,0.010722396868608304,4,0.3433326131420505,3,64,0.046875,4,0,4,4
sr_rff_pca_qd,RTLLM/Prob019_sub_64bit,scalar_cell_elite,45,5,0.1111111111111111,5,1.0,1,0.4499369557400372,1,0.48228021147642647,2,16,0.125,5,0,5,1
sr_rff_pca_qd,RTLLM/Prob019_sub_64bit,bounded_local_pareto,45,6,0.13333333333333333,5,1.2,2,0.4499369557400372,2,0.48228021147642647,2,16,0.125,5,1,5,1
sr_rff_pca_qd,RTLLM/Prob048_pe,scalar_cell_elite,20,1,0.05,1,1.0,1,0.0,1,0.002637280923532347,1,64,0.015625,1,0,1,1
sr_rff_pca_qd,RTLLM/Prob048_pe,bounded_local_pareto,20,4,0.2,1,4.0,4,0.0,4,0.002637280923532347,1,64,0.015625,2,2,2,2
sr_rff_pca_qd,VerilogEval-Spec-to-RTL/Prob021_mux256to1v,scalar_cell_elite,20,1,0.05,1,1.0,1,0.2724434245035594,1,0.4231863785854045,1,16,0.0625,1,0,1,1
sr_rff_pca_qd,VerilogEval-Spec-to-RTL/Prob021_mux256to1v,bounded_local_pareto,20,1,0.05,1,1.0,1,0.2724434245035594,1,0.4231863785854045,1,16,0.0625,1,0,1,1
sr_rff_pca_qd,VerilogEval-Spec-to-RTL/Prob030_popcount255,scalar_cell_elite,42,1,0.023809523809523808,1,1.0,1,0.0,1,0.2849612403100775,1,16,0.0625,1,0,1,1
sr_rff_pca_qd,VerilogEval-Spec-to-RTL/Prob030_popcount255,bounded_local_pareto,42,4,0.09523809523809523,1,4.0,4,0.0,4,0.2849612403100775,1,16,0.0625,4,0,2,4
sr_rff_pca_qd,VerilogEval-Spec-to-RTL/Prob105_rotate100,scalar_cell_elite,37,1,0.02702702702702703,1,1.0,1,0.0,1,0.04155040525406675,1,64,0.015625,1,0,1,1
sr_rff_pca_qd,VerilogEval-Spec-to-RTL/Prob105_rotate100,bounded_local_pareto,37,4,0.10810810810810811,1,4.0,4,0.0,4,0.04155040525406675,1,64,0.015625,2,2,1,2
sr_vq_codebook_qd,RTLLM/Prob011_multi_16bit,scalar_cell_elite,11,1,0.09090909090909091,1,1.0,1,0.0,1,0.04237317431509808,1,64,0.015625,1,0,1,1
sr_vq_codebook_qd,RTLLM/Prob011_multi_16bit,bounded_local_pareto,11,4,0.36363636363636365,1,4.0,4,0.0,4,0.04237317431509808,1,64,0.015625,1,3,1,1
sr_vq_codebook_qd,RTLLM/Prob019_sub_64bit,scalar_cell_elite,35,2,0.05714285714285714,2,1.0,1,0.3660570173381486,1,0.45380998910828657,2,16,0.125,2,0,2,1
sr_vq_codebook_qd,RTLLM/Prob019_sub_64bit,bounded_local_pareto,35,4,0.11428571428571428,2,2.0,3,0.3660570173381486,1,0.45380998910828657,2,16,0.125,2,2,2,1
